card_id,account_id,card_number,expiry_date,card_type,cvv_number,pin_hash
1,816,180018088268739,2023-07-30,Debit,975,ad6e3e7f0ef2b54cc2b5402e84366aa7d6ca3dca84521b18919fbb3c6fc3cec4
2,823,30115890187321,2026-01-04,Credit,753,e46955622590acf01302256aefdcd60f9355235f361b4e90d42a5ef294602f44
3,625,4057285446313420546,2022-09-16,Prepaid,965,8fef3b72b379e3d2a3db10dbe485c28f4692f0c0abd4c7991ad562acbb1b41f4
4,72,2714184744017117,2022-07-05,Prepaid,179,245282076025ac454e8df1aa1ef47f49b9cb981671b360e5a6c230a356440af6
5,613,4227784098805444941,2027-08-22,Debit,845,4403366cc64b5ead3ef369595cd94ac8cbd3903dd9ae7919738ad79377a6f6bf
6,191,3553761661137820,2029-08-07,Credit,765,cd22b15ea963449e8b52894a440dfc737b276a18b2c3ef24d9c7d77fa3dfac58
7,363,3597381446142835,2024-07-11,Credit,226,b5ea06738980eb9433c28d8a446e5202b82e1acf56095747c474422d13e37654
8,479,4781307992053248224,2023-06-22,Prepaid,286,9f15cfd4e5242da0cd83de1bd492f77925c7ddb880d38796f2ce7b6a5838137e
9,535,4163802030412245,2029-08-02,Credit,458,6f99c54e276a021193aa690d838835700da9e44fb205de523e5ffc9d97667816
10,879,4747429460715577,2025-11-16,Prepaid,929,237e10302a7e4c975075164fa041eeb372e5208c3cb8f823710cd89a3714ece7
11,308,4918494312050,2020-06-06,Prepaid,573,67eaf80d171c60bf7b5752e2827c359885a004f290ccd5efcf1770ab5d6639fa
12,213,2299810501609091,2028-07-17,Debit,896,b8761e3debbc4642cdd08a332bb3a29408c4248213f0f3809ebad44cc95ab17a
13,598,4408893345158,2026-01-13,Debit,769,04e972e1eb6b7fe4e5539288a807e9b6991f25e0e01fc3011a8d43918500eef0
14,989,6521184452184160,2026-05-07,Credit,878,a7fee2e661faad15a25b31a0f98fbedca8b6c849bd7424dab1c37c1a92320cf7
15,57,4243725088728127,2029-02-01,Credit,691,146bc5ff9f62463983c37c5ae559b8a35b26db5996ef403c4512f8b30287dd30
16,706,6505427453471585,2025-07-12,Debit,909,4ec1e8f009f94232ebc8e69658db009775862eaef36238b91b1d40c96494516d
17,532,2255060140207798,2029-09-28,Prepaid,860,5285dee3b9d7b2c0ebd278aa07102db425ae78530208575bc31e3970815c326f
18,212,36380525357905,2025-12-30,Debit,688,21a1f627f83c43fe94898b9278cb444670ed028ed20892b22aca8bf8875b9c75
19,226,6510377386438776,2027-09-20,Prepaid,529,32e0ec8ce5d409730435c047485fad0d155a4af6932b9e1c70378774d5a9b530
20,73,4326046193509,2021-09-05,Prepaid,970,b196928a478ded84f390131b728c43bdbfb8e39ae3f0fb4a16eaa882b0e41437
21,631,6011212326502809,2021-07-13,Credit,650,80656674802b10e552452124a7996460222ec3b377aa00f7dd9f388742338c78
22,762,2277257981975103,2029-11-16,Prepaid,260,c58ea2386974b4b33de1125ba2d9b564c115070696315bb349f7ec366a4a0eb5
23,158,6593251081995432,2025-09-26,Credit,894,b84c0acca8fdacd8d78f249df6d1436ed36801257d92022bfe9abf021a36894e
24,552,4815098330944,2022-04-16,Prepaid,772,e4f1072ecdc00e91918f1088490c3c7349f9ad9d1b8fa27a414c3499884907c0
25,656,6011163809888621,2021-11-07,Prepaid,200,45ff54d8637c823d0fd19b67bb481664d66889dd355891283e89d8ff52231a2b
26,118,4670543767624374454,2024-02-13,Debit,981,7d758797d9ac60d63274dc69f5b73a5b7be9bae698cc4228f6af02ed5dcf9fdc
